,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
93,490202,W,2017-04-10,TB,NYY,1,8,502171,501381,572816,595281,446334,543543,519306,489149,519083,605480,542921,458731,453056,407812,474892,516770,452104,592450,519222,591720
94,490201,W,2017-04-10,STL,WSH,6,14,425794,543699,451594,649557,572761,572039,425877,425509,545341,543939,425794,594809,543685,547180,502517,475582,150029,452220,446308,543699
95,490200,L,2017-04-10,SD,COL,5,3,543054,543022,622534,608671,571976,500208,572114,592669,430947,620443,543054,453568,518934,471865,571448,467827,596115,448602,547172,543022
96,490199,L,2017-04-10,OAK,KC,2,0,605194,453178,543760,459964,592387,501981,519390,476704,475174,461858,434658,460086,519058,456715,543333,521692,461235,449181,444876,609275
97,490198,L,2017-04-10,NYM,PHI,4,3,594798,595191,408314,452678,493316,457803,434158,435522,446263,518595,594798,514917,435062,546318,596748,459431,519237,595426,520471,595191
98,490196,W,2017-04-10,HOU,SEA,0,6,450203,572020,543807,608324,514888,621043,136860,594828,503556,502210,493329,516416,571745,429664,443558,572122,502143,547982,572287,502481
99,490195,L,2017-04-10,CIN,PIT,7,1,605232,607192,571740,606299,458015,594807,553993,594988,571697,571466,605232,474568,516782,457705,570256,501896,465041,605137,624428,453281
100,490194,W,2017-04-10,BOS,DET,1,2,519242,434378,456030,643217,605141,519048,467055,455759,571788,506702,593523,435079,592206,408234,400121,543484,543510,578428,592444,461865
101,490193,W,2017-04-10,AZ,SF,1,4,592836,519043,572041,572008,502671,571875,630111,592273,444482,425772,592836,452655,474832,452254,457763,543063,456488,605412,592620,519043
102,490197,W,2017-04-10,LAD,CHC,2,3,622072,452657,523253,608369,457759,429711,624577,408236,518735,592626,622072,656941,592178,519203,450314,608365,575929,518792,595879,452657
103,490210,W,2017-04-11,MIN,DET,1,2,502327,571510,572821,543257,593871,593934,488771,460269,592696,621439,542454,435079,592206,408234,400121,457708,543484,543510,592444,553988
104,490213,W,2017-04-11,STL,WSH,3,8,458681,461829,451594,649557,425877,572039,576397,425509,545341,500874,458681,594809,594694,547180,502517,475582,150029,452220,446308,461829
105,490212,W,2017-04-11,SD,COL,2,3,450308,622608,622534,608671,571976,500208,572114,592669,595978,430947,450308,453568,518934,471865,571448,467827,448602,542436,547172,622608
106,490211,L,2017-04-11,NYM,PHI,14,4,518774,453329,434158,452678,493316,457803,435522,446263,408314,518595,518774,514917,435062,546318,596748,459431,571830,519237,520471,605388
107,490214,W,2017-04-11,TEX,LAA,5,6,430935,572140,460576,462101,608577,435063,596059,518960,425783,607387,608336,488862,594777,545361,405395,592743,457727,527043,457787,455117
108,490209,L,2017-04-11,MIL,TOR,4,3,503449,457918,542340,542979,460075,543768,570267,542583,541650,444489,606115,581527,430832,434778,453064,431145,475253,456665,607680,572365
109,490207,L,2017-04-11,CIN,PIT,6,2,606959,592791,571740,606299,458015,594807,553993,594988,571697,571466,606959,516782,605137,457705,570256,501896,465041,543281,474568,592791
110,490206,W,2017-04-11,CWS,CLE,1,2,448306,471911,573135,641313,466320,547989,453943,605125,541645,434567,594576,467793,596019,488726,429665,608070,650490,571980,543228,501659
111,490205,W,2017-04-11,BAL,BOS,1,8,605164,519141,502226,430945,592518,444432,448801,456078,641820,570731,429666,456030,643217,605141,434670,519048,593428,467055,455759,543877
112,490204,W,2017-04-11,ATL,MIA,4,8,112526,573185,542255,621020,518692,455976,611177,408252,452095,466988,112526,543829,592663,592885,519317,571506,542303,518618,595375,573185
113,490203,L,2017-04-11,AZ,SF,4,3,592662,502188,572041,444482,502671,571875,630111,592273,572008,455104,592662,491676,474832,452254,431094,460026,456488,502029,605412,502188
114,490208,L,2017-04-11,HOU,SEA,7,5,605397,664641,543807,608324,514888,621043,136860,435263,503556,493329,502210,502481,571745,429664,443558,572122,502143,547982,434563,600301
115,490229,L,2017-04-12,TEX,LAA,8,3,456167,445926,460576,425783,608577,435063,596059,518960,462101,608336,595777,488862,594777,545361,405395,592743,519184,543068,457787,455117
116,490227,L,2017-04-12,STL,WSH,6,1,502190,453286,451594,594824,572761,572039,571431,576397,543939,518700,502190,594809,543685,547180,502517,475582,150029,446308,594694,453286
117,490226,L,2017-04-12,SD,COL,6,0,545346,607536,622534,571976,500208,592669,572114,518466,595978,545346,430947,453568,518934,471865,571448,467827,596115,506560,572863,607536
118,490225,L,2017-04-12,OAK,KC,8,3,592811,434628,543760,459964,476704,501981,519390,592387,475174,461858,434658,460086,519058,456715,543333,521692,461235,596144,444876,609275
119,490224,L,2017-04-12,NYM,PHI,5,4,554430,592826,624424,452678,493316,457803,435522,446263,408314,518595,554430,514917,435062,546318,596748,459431,571830,519237,520471,592826
120,490223,W,2017-04-12,MIN,DET,3,5,502043,605242,572821,596146,593934,408045,593871,488771,500871,592696,542454,435079,592206,408234,400121,457708,607385,543510,461865,578428
121,490222,L,2017-04-12,MIL,TOR,2,0,502624,573186,542340,519346,460075,543768,570267,543590,542979,542908,606115,581527,430832,518626,434778,453064,431145,456665,607680,446381
122,490228,W,2017-04-12,TB,NYY,4,8,605483,656756,519306,595281,446334,430001,572816,519083,621002,542921,488721,453056,543305,407812,474892,516770,452104,592450,543309,518902
123,490220,L,2017-04-12,HOU,SEA,10,5,571666,451596,543807,502210,514888,621043,136860,608324,435263,493329,493114,502481,571745,429664,443558,572122,600301,572287,502273,547982
124,490219,L,2017-04-12,CIN,PIT,9,2,607237,467100,571740,606299,458015,594807,553993,594988,446359,571466,607237,474568,516782,457705,501896,465041,605137,543281,624428,467100
125,490218,L,2017-04-12,CWS,CLE,2,1,502706,517593,573135,641313,466320,547989,605125,541645,571602,553882,544725,467793,596019,488726,429665,608070,446386,650490,547379,457706
126,490217,L,2017-04-12,BAL,BOS,12,5,434622,453214,452234,430945,592518,448801,444432,456078,641820,570731,429666,456030,643217,605141,434670,519048,593428,467055,455759,506702
127,490216,L,2017-04-12,ATL,MIA,5,4,448802,543408,542255,621020,518692,455976,408252,611177,452095,607054,448802,543829,592663,592885,519317,542303,489138,500743,595375,543408
128,490215,W,2017-04-12,AZ,SF,2,6,571946,430912,572041,444482,502671,571875,630111,592273,572008,425772,571946,452655,474832,452254,543063,543216,460026,605412,592620,430912
129,490221,L,2017-04-12,LAD,CHC,2,0,435221,407793,592808,608369,523253,408236,518735,592626,400284,624577,435221,656941,592178,519203,450314,608365,518792,575929,407793,445055
130,490239,L,2017-04-13,TEX,LAA,8,3,506433,445060,460576,425783,608577,435063,596059,462101,608336,455139,595777,488862,594777,545361,405395,592743,457727,527043,457787,542208
131,490238,W,2017-04-13,TB,NYY,2,3,542882,622663,572816,595281,446334,543543,519306,489149,621002,605480,491696,453056,543305,407812,516770,452104,595885,592450,519222,591720
132,490237,W,2017-04-13,OAK,KC,1,3,534910,450306,543760,434658,476704,501981,592387,461858,592192,519390,489267,460086,519058,456715,543333,521692,461235,449181,444876,609275
133,490236,L,2017-04-13,NYM,MIA,9,8,607229,612672,434158,452678,493316,527038,457803,435522,608061,518595,607229,543829,454560,592885,519317,571506,542303,518618,500743,612672
134,490235,L,2017-04-13,MIN,DET,11,5,461833,519455,572821,543257,408045,593934,596146,593871,460269,592696,621439,461865,592206,408234,400121,457708,607385,543510,592444,578428
135,490234,L,2017-04-13,MIL,CIN,5,1,519076,276520,542340,519346,460075,543768,570267,542979,444489,606115,519076,571740,606299,458015,594807,553993,594988,446359,571466,276520
136,490232,L,2017-04-13,COL,SF,3,1,592351,518516,453568,518934,571448,471865,448602,596115,506924,572863,592351,452655,605412,474832,452254,543216,456488,592620,543148,518516
137,490231,L,2017-04-13,CWS,CLE,10,4,456068,458708,641313,466320,547989,605125,541645,571602,570560,553882,544725,467793,596019,488726,429665,608070,502082,650490,501659,543228
138,490230,L,2017-04-13,BAL,TOR,2,1,592332,434538,502226,430945,592518,444432,448801,456078,641820,570731,429666,485567,430832,518626,434778,453064,431145,607680,446381,581527
139,490143,W,2017-04-13,PIT,BOS,3,4,641771,593958,474568,516782,457705,570256,501896,543281,605137,594838,455755,456030,643217,605141,434670,519048,593428,593523,543877,571788
140,490233,W,2017-04-13,LAD,CHC,0,4,547943,474463,523253,608369,457759,624577,475100,518735,572204,571771,547943,656941,592178,519203,608365,575929,546991,518792,595879,474463
141,490249,W,2017-04-14,PHI,WSH,2,3,605400,544931,514917,435062,546318,596748,459431,571830,519237,520471,605400,594809,543685,547180,502517,475582,150029,446308,594694,544931
142,490254,W,2017-04-14,TEX,SEA,1,2,527048,433587,460576,425783,608577,435063,596059,462101,518960,608336,595777,628338,571745,429664,443558,572122,600301,502143,572287,502481
143,490253,L,2017-04-14,TB,BOS,10,5,502042,519144,572816,595281,446334,543543,519306,489149,519083,451089,542921,456030,643217,605141,434670,519048,593428,467055,455759,506702
144,490252,W,2017-04-14,STL,NYY,3,4,608379,547888,451594,649557,572761,572039,571431,425877,425509,545341,543939,458731,516770,407812,453056,452104,592450,595885,519222,591720
145,490251,W,2017-04-14,SD,ATL,2,5,468504,527054,622534,608671,571976,500208,572114,592669,430947,595978,468504,542255,621020,518692,455976,408252,611177,452095,607054,527054
146,490250,L,2017-04-14,PIT,CHC,4,2,543037,543294,543281,516782,457705,570256,501896,444379,465041,474568,543037,656941,592178,519203,450314,608365,518792,471083,543294,595879
147,490248,W,2017-04-14,NYM,MIA,2,3,592789,450172,434158,452678,457803,446263,624424,527038,408314,592789,425784,543829,592663,592885,542303,571506,518618,400085,500743,450172
148,490245,L,2017-04-14,HOU,OAK,7,2,572971,608665,543807,502210,514888,621043,136860,608324,435263,503556,493114,543760,434658,476704,501981,592387,461858,572033,592192,489267
