,game_pk,away_team,away_sp,np,ip,er,k,bb,h
376,718403,LAD,628711,96,5.67,6.0,5,2,7
377,718409,STL,571945,95,6.33,0.0,6,2,4
378,718400,KC,425844,88,3.67,7.0,3,2,8
379,718398,WSH,592866,95,5.0,4.0,4,2,9
380,718397,NYY,543037,92,6.67,2.0,8,1,6
381,718402,OAK,676664,87,4.33,6.0,4,2,6
382,718396,TB,663556,73,5.0,2.0,5,2,5
383,718395,CLE,669456,99,7.0,2.0,4,2,5
384,718394,ATL,608331,86,5.0,0.0,7,1,3
385,718393,TB,621107,74,5.0,2.0,5,2,6
386,718392,SEA,622491,95,5.0,2.0,4,2,6
387,718391,CHC,573186,92,6.33,2.0,3,2,6
388,718390,AZ,518876,94,6.0,1.0,5,1,6
389,718380,CIN,570666,71,5.0,3.0,2,1,8
390,718388,NYY,657376,97,5.0,5.0,8,1,10
391,718387,KC,543475,94,4.0,7.0,4,4,7
392,718386,LAA,542881,109,6.67,1.0,7,3,5
393,718382,STL,656427,110,4.67,4.0,7,2,7
394,718389,PHI,605400,107,8.0,1.0,6,0,3
395,718401,BAL,680570,91,5.0,0.0,9,1,2
396,718399,PIT,592826,92,6.0,0.0,5,0,5
397,718385,CLE,668676,57,3.33,5.0,1,1,8
398,718384,SF,640455,71,2.0,4.0,3,4,5
399,718383,PIT,448179,103,6.33,2.0,5,0,8
400,718381,BAL,665152,89,5.0,5.0,6,2,11
401,718379,SEA,668834,64,6.67,0.0,2,1,1
402,718378,KC,641745,92,5.33,1.0,4,5,6
403,718376,LAA,672282,91,4.33,4.0,6,3,4
404,718375,CHC,668873,88,3.33,7.0,4,2,10
405,718374,NYY,666745,59,5.0,2.0,5,1,4
406,718373,TB,676534,39,1.33,2.0,1,2,1
407,718372,PHI,554430,104,6.0,0.0,7,1,3
408,718369,STL,656756,93,6.67,1.0,7,2,5
409,718366,AZ,674072,75,5.33,4.0,3,1,7
410,718377,CIN,668881,112,5.0,0.0,10,3,5
411,718363,SEA,594835,67,3.0,5.0,2,1,8
412,718368,SF,502171,94,5.0,3.0,7,0,7
413,718367,PIT,670912,64,2.33,7.0,1,2,9
414,718370,CLE,671106,104,5.0,2.0,8,2,4
415,718364,CHC,657006,81,6.0,2.0,3,1,7
416,718362,KC,663903,66,2.67,8.0,5,3,5
417,718365,LAA,660761,77,5.0,0.0,6,3,2
418,718359,STL,663765,90,3.67,3.0,2,3,4
419,718360,BAL,680694,78,4.67,3.0,5,1,6
420,718354,PHI,663559,77,4.33,4.0,3,3,8
421,718355,TB,656876,97,5.0,3.0,3,0,9
422,718358,AZ,669194,75,4.0,6.0,2,1,9
423,718357,CIN,666157,70,5.0,3.0,7,0,5
424,718356,NYY,641482,100,4.67,7.0,7,4,5
425,718361,ATL,450203,92,5.33,4.0,6,3,6
426,718352,ATL,675911,107,5.0,4.0,8,3,5
427,718351,CLE,615698,97,7.33,2.0,2,1,6
428,718353,TOR,621244,93,5.33,5.0,4,2,11
429,718349,CHC,592767,84,7.0,1.0,2,0,6
430,718345,CIN,596133,79,4.33,4.0,3,2,9
431,718343,PHI,592836,82,3.33,8.0,6,3,8
432,718350,SF,548389,73,5.0,2.0,5,0,5
433,718347,PIT,672710,99,5.33,4.0,3,4,6
434,718346,ATL,693821,96,7.0,0.0,6,0,3
435,718344,CHC,669713,78,6.0,1.0,2,0,5
436,718342,AZ,668678,94,5.0,3.0,6,0,7
437,718341,TOR,579328,93,4.33,5.0,2,0,9
438,718340,MIN,657746,87,6.0,0.0,7,2,1
439,718339,CLE,676440,92,5.33,2.0,5,0,4
440,718337,SF,543101,109,8.0,0.0,3,0,3
441,718336,BAL,669330,92,6.0,4.0,4,3,3
442,718335,CIN,668933,95,6.0,1.0,3,1,6
443,718332,SEA,682243,81,6.0,1.0,10,0,2
444,718331,PHI,621381,73,3.33,4.0,5,1,6
445,718338,LAA,663776,98,5.0,1.0,4,3,3
446,718334,MIL,642547,94,6.0,2.0,10,3,7
447,718326,SF,657277,102,7.67,2.0,5,2,5
448,718348,NYM,664192,46,4.0,4.0,1,0,5
449,718333,CHC,573186,92,6.0,1.0,5,3,5
450,718330,CIN,570666,71,3.33,3.0,2,3,4
451,718329,NYM,453286,75,3.33,6.0,3,1,8
452,718328,PIT,656605,100,5.0,1.0,8,1,5
453,718327,PHI,605400,98,6.33,4.0,5,0,7
454,718325,AZ,694297,87,4.67,7.0,3,1,9
455,718323,TOR,666201,103,5.0,2.0,3,1,8
456,718322,MIN,686973,87,4.67,4.0,6,2,7
457,718321,ATL,657140,55,2.0,3.0,3,1,6
458,718320,LAA,660271,97,5.0,4.0,13,1,5
459,718319,SEA,669302,89,6.0,2.0,6,2,3
460,718315,MIL,641778,84,4.67,0.0,6,4,4
461,718314,BAL,502043,74,6.67,6.0,0,0,10
462,718324,CLE,669456,93,8.0,2.0,4,1,5
463,718318,NYM,434378,79,5.0,2.0,5,1,5
464,718317,CHC,592791,42,3.0,3.0,4,0,3
465,718316,TOR,592332,88,3.33,8.0,4,1,10
466,718313,MIL,489119,90,6.0,3.0,2,2,6
467,718312,BAL,680570,77,3.67,6.0,3,1,8
468,718311,LAA,656288,88,5.0,5.0,3,3,6
469,718310,MIN,641154,101,7.0,2.0,8,1,6
470,718309,PIT,592826,54,3.0,1.0,2,1,2
471,718308,ATL,689266,85,6.0,3.0,1,3,8
472,718304,SEA,669923,98,7.0,3.0,2,1,7
473,718307,TOR,605135,105,7.0,0.0,5,4,4
474,718306,MIN,641927,91,7.0,0.0,6,1,3
