,game_pk,home_team,home_sp,np,ip,er,k,bb,h
203,718577,SEA,543548,82,4.67,1.0,3,2,3
204,718575,LAD,592789,92,6.0,3.0,9,2,6
205,718574,SD,608379,93,4.33,7.0,3,1,11
206,718581,HOU,677651,91,5.0,5.0,7,2,6
207,718569,TOR,579328,94,6.0,1.0,9,1,4
208,718573,WSH,641771,96,4.67,5.0,2,3,7
209,718576,BOS,601713,99,4.0,6.0,4,3,5
210,718572,NYY,593334,78,6.33,1.0,11,0,3
211,718571,DET,547179,79,4.0,6.0,6,2,8
212,718570,CWS,656629,97,5.0,3.0,4,4,6
213,718568,STL,571927,110,5.67,2.0,6,5,3
214,718561,SEA,669923,90,6.33,2.0,3,0,6
215,718566,CIN,668933,89,6.0,0.0,4,4,4
216,718565,OAK,660261,92,6.0,3.0,5,2,4
217,718564,LAD,675627,79,5.67,1.0,6,2,2
218,718563,KC,663460,100,5.0,5.0,3,1,10
219,718562,HOU,686613,99,7.0,0.0,5,1,5
220,718560,SD,607625,93,3.67,3.0,5,1,8
221,718567,MIA,666129,81,5.67,1.0,5,1,4
222,718559,BOS,676477,99,7.0,1.0,5,2,3
223,718557,NYY,543037,109,9.0,0.0,10,1,2
224,718556,TOR,666201,101,4.67,7.0,5,4,9
225,718555,WSH,571578,94,6.0,2.0,4,0,5
226,718554,CIN,570666,88,3.0,11.0,0,3,14
227,718553,CWS,656302,113,6.0,2.0,5,5,6
228,718552,HOU,664285,95,6.0,1.0,7,2,4
229,718550,MIA,645261,82,6.0,3.0,9,0,6
230,718549,SD,506433,100,7.0,1.0,12,2,4
231,718548,STL,571945,92,5.67,2.0,4,2,7
232,718547,LAD,628711,100,5.67,2.0,6,1,8
233,718546,OAK,676664,88,6.0,2.0,3,0,4
234,718545,SEA,622491,91,7.0,0.0,9,0,2
235,718551,KC,425844,88,6.0,4.0,6,1,4
236,718544,MIA,666200,100,4.33,3.0,6,2,6
237,718542,CIN,668881,47,3.0,0.0,1,0,3
238,718540,BOS,678394,72,2.67,5.0,5,1,8
239,718539,KC,543475,95,8.0,3.0,3,3,4
240,718537,HOU,664299,97,5.0,1.0,5,2,3
241,718538,STL,656427,90,6.0,4.0,4,3,4
242,718535,COL,607536,61,2.67,7.0,1,1,8
243,718534,SEA,623167,78,6.0,4.0,5,1,6
244,718533,SD,677960,94,6.0,2.0,5,2,6
245,718532,LAD,669160,87,5.67,5.0,1,0,8
246,718536,OAK,666205,98,4.0,6.0,3,2,13
247,718527,STL,656756,79,4.0,7.0,2,0,10
248,718543,CWS,608337,102,6.0,0.0,7,1,0
249,718541,DET,593958,99,8.0,0.0,10,0,4
250,718531,WSH,680686,98,5.0,1.0,3,4,4
251,718530,DET,571510,82,5.0,3.0,4,2,5
252,718529,NYY,657376,68,3.67,4.0,5,0,6
253,718528,MIA,665795,92,6.0,2.0,8,2,6
254,718526,CIN,666157,101,4.67,8.0,4,1,12
255,718520,HOU,664353,81,4.33,4.0,4,2,7
256,718524,BOS,519242,94,6.0,1.0,11,2,3
257,718523,OAK,686610,102,5.0,0.0,5,3,5
258,718522,KC,641745,81,4.0,3.0,2,5,3
259,718521,COL,570632,70,4.67,5.0,2,2,7
260,718519,SD,605483,95,5.0,2.0,5,3,3
261,718517,SEA,669302,99,6.0,4.0,8,0,5
262,718516,LAD,477132,105,7.0,0.0,9,0,3
263,718525,CWS,458681,107,5.33,5.0,7,3,10
264,718511,MIA,669432,58,3.0,1.0,3,1,3
265,718515,CIN,686651,84,4.0,7.0,3,1,9
266,718514,KC,663903,97,5.0,5.0,4,3,6
267,718513,DET,605513,82,5.33,3.0,3,3,3
268,718512,STL,663765,82,5.0,4.0,1,1,7
269,718518,WSH,669022,103,6.0,3.0,7,4,3
270,718510,CWS,605182,75,3.0,3.0,1,1,6
271,718506,OAK,695243,81,4.33,2.0,5,1,4
272,718508,LAD,592789,74,6.0,2.0,2,2,5
273,718507,SD,607259,97,7.0,0.0,6,2,3
274,718505,BOS,446372,103,5.0,7.0,4,2,6
275,718504,NYY,666745,84,4.33,1.0,3,3,3
276,718502,SEA,594835,90,6.0,2.0,9,1,4
277,718501,HOU,677651,92,7.0,0.0,9,1,2
278,718509,COL,596295,59,2.0,9.0,1,3,9
279,718503,SF,640455,88,3.67,5.0,3,3,4
280,718500,PIT,672710,93,6.67,1.0,8,2,5
281,718499,CHC,665871,62,3.0,2.0,3,2,3
282,718498,PHI,621381,82,5.33,3.0,11,2,3
283,718497,BOS,656557,96,7.0,3.0,7,1,6
284,718496,NYY,641482,94,6.0,3.0,7,2,4
285,718494,AZ,669194,85,5.0,5.0,4,3,3
286,718493,PHI,605400,94,7.0,3.0,3,3,4
287,718492,PIT,656605,89,6.0,2.0,5,1,4
