game_pk,pitcher,np,ip,k,hits,bb
718428,641778,85.0,3.0,4.0,8.0,2.0
718429,450203,108.0,7.0,9.0,3.0,2.0
718430,663559,98.0,6.0,7.0,6.0,0.0
718431,676130,93.0,5.0,1.0,4.0,6.0
718432,670912,94.0,6.0,4.0,6.0,2.0
718433,621244,103.0,7.0,9.0,4.0,1.0
718434,596133,99.0,6.0,8.0,8.0,2.0
718435,680694,81.0,3.0,1.0,8.0,4.0
718436,656876,94.0,5.0,5.0,9.0,2.0
718439,605154,24.0,2.0,2.0,1.0,0.0
718440,685410,97.0,5.0,4.0,6.0,4.0
718407,592767,89.0,5.0,4.0,4.0,1.0
718408,663776,105.0,7.0,5.0,6.0,0.0
718411,693821,96.0,6.0,3.0,5.0,2.0
718412,673540,94.0,5.0,7.0,5.0,4.0
718413,672710,87.0,6.0,5.0,2.0,2.0
718414,676534,43.0,3.0,1.0,1.0,2.0
718415,592836,68.0,4.0,6.0,5.0,2.0
718416,669330,102.0,6.0,7.0,4.0,1.0
718417,628317,72.0,4.0,2.0,11.0,2.0
718418,668678,97.0,7.0,12.0,4.0,0.0
718419,642547,98.0,6.0,8.0,5.0,0.0
718420,579328,89.0,6.0,8.0,4.0,1.0
718421,676440,91.0,6.0,8.0,6.0,0.0
718423,543101,96.0,6.0,6.0,6.0,1.0
718424,668933,101.0,6.0,3.0,3.0,4.0
718396,656302,99.0,5.0,3.0,9.0,2.0
718397,571760,97.0,6.0,6.0,4.0,1.0
718398,664192,90.0,6.0,3.0,5.0,2.0
718400,641816,66.0,4.0,6.0,2.0,0.0
718402,660271,93.0,6.0,8.0,3.0,2.0
718403,656605,97.0,6.0,10.0,5.0,1.0
718404,621381,60.0,6.0,5.0,2.0,0.0
718405,666214,86.0,6.0,6.0,4.0,1.0
718406,669713,74.0,5.0,3.0,4.0,1.0
718409,657277,102.0,7.0,7.0,7.0,1.0
718410,657140,45.0,3.0,6.0,2.0,1.0
718380,607968,89.0,6.0,1.0,11.0,1.0
718382,669160,104.0,5.0,4.0,3.0,4.0
718386,489119,84.0,6.0,2.0,7.0,0.0
718387,641154,92.0,7.0,7.0,8.0,1.0
718388,594798,50.0,4.0,2.0,1.0,1.0
718389,664285,109.0,7.0,3.0,8.0,0.0
718390,607536,94.0,7.0,3.0,5.0,1.0
718391,666200,96.0,7.0,6.0,5.0,2.0
718392,666201,100.0,5.0,7.0,6.0,4.0
718393,608337,97.0,7.0,6.0,8.0,0.0
718394,656849,73.0,5.0,6.0,5.0,1.0
718395,601713,100.0,5.0,5.0,5.0,2.0
718366,663562,54.0,2.0,2.0,7.0,2.0
718369,477132,88.0,7.0,9.0,2.0,0.0
718372,664299,97.0,6.0,6.0,7.0,1.0
718373,458681,103.0,7.0,10.0,3.0,2.0
718374,543135,113.0,9.0,8.0,3.0,0.0
718375,665795,109.0,5.0,12.0,3.0,5.0
718376,669203,91.0,6.0,5.0,5.0,1.0
718377,666205,80.0,5.0,3.0,5.0,2.0
718378,641927,88.0,6.0,6.0,4.0,2.0
718379,592332,108.0,7.0,13.0,6.0,1.0
718381,593958,98.0,6.0,5.0,4.0,2.0
718383,571578,91.0,6.0,2.0,7.0,1.0
718384,605397,73.0,4.0,3.0,6.0,1.0
718385,678394,84.0,5.0,6.0,5.0,2.0
