game_pk,pitcher,np,ip,k,hits,bb
718449,664353,73.0,3.0,3.0,7.0,2.0
718422,663903,92.0,6.0,5.0,5.0,0.0
718425,695243,86.0,4.0,6.0,5.0,1.0
718426,605483,105.0,5.0,5.0,4.0,5.0
718427,641482,98.0,6.0,6.0,5.0,1.0
718428,605513,75.0,4.0,2.0,3.0,3.0
718429,663773,64.0,4.0,2.0,6.0,2.0
718430,594835,75.0,5.0,2.0,4.0,1.0
718431,680686,91.0,6.0,9.0,4.0,1.0
718432,592789,80.0,4.0,2.0,9.0,0.0
718433,605182,100.0,5.0,3.0,7.0,3.0
718434,527048,92.0,7.0,5.0,6.0,1.0
718435,446372,80.0,6.0,3.0,5.0,0.0
718436,677651,97.0,6.0,7.0,3.0,2.0
718439,663765,92.0,6.0,4.0,5.0,1.0
718440,663372,82.0,6.0,6.0,5.0,0.0
718407,608379,99.0,5.0,5.0,4.0,1.0
718408,665622,93.0,5.0,6.0,8.0,3.0
718411,645261,88.0,6.0,6.0,4.0,3.0
718412,669022,101.0,6.0,10.0,4.0,2.0
718413,664062,65.0,4.0,1.0,2.0,3.0
718414,686613,95.0,7.0,8.0,2.0,2.0
718415,669302,86.0,5.0,6.0,7.0,1.0
718416,656557,86.0,5.0,2.0,7.0,2.0
718417,593334,84.0,7.0,8.0,5.0,2.0
718418,642232,77.0,4.0,2.0,4.0,1.0
718419,547179,100.0,5.0,5.0,7.0,2.0
718420,656629,90.0,5.0,4.0,6.0,2.0
718421,608566,58.0,4.0,4.0,6.0,1.0
718423,571927,90.0,4.0,3.0,6.0,3.0
718424,592351,95.0,6.0,2.0,4.0,2.0
718396,663556,73.0,5.0,5.0,5.0,2.0
718397,543037,92.0,7.0,8.0,6.0,1.0
718398,592866,95.0,5.0,4.0,9.0,2.0
718400,425844,88.0,4.0,3.0,8.0,2.0
718402,676664,87.0,5.0,4.0,6.0,2.0
718403,628711,96.0,6.0,5.0,7.0,2.0
718404,669923,89.0,8.0,7.0,4.0,1.0
718405,502043,102.0,5.0,3.0,8.0,2.0
718406,607625,98.0,5.0,3.0,7.0,0.0
718409,571945,95.0,7.0,6.0,4.0,2.0
718410,666129,48.0,3.0,3.0,1.0,0.0
718380,570666,71.0,6.0,2.0,8.0,1.0
718382,656427,110.0,5.0,7.0,7.0,2.0
718386,542881,109.0,7.0,7.0,5.0,3.0
718387,543475,94.0,4.0,4.0,7.0,4.0
718388,657376,97.0,5.0,8.0,10.0,1.0
718389,605400,107.0,8.0,6.0,3.0,0.0
718390,518876,94.0,6.0,5.0,6.0,1.0
718391,573186,92.0,7.0,3.0,6.0,2.0
718392,622491,95.0,5.0,4.0,6.0,2.0
718393,621107,74.0,5.0,5.0,6.0,2.0
718394,608331,86.0,5.0,7.0,3.0,1.0
718395,669456,99.0,7.0,4.0,5.0,2.0
718366,674072,75.0,6.0,3.0,7.0,1.0
718369,656756,93.0,7.0,7.0,5.0,2.0
718372,554430,104.0,6.0,7.0,3.0,1.0
718373,676534,39.0,2.0,1.0,1.0,2.0
718374,666745,59.0,5.0,5.0,4.0,1.0
718375,668873,88.0,4.0,4.0,10.0,2.0
718376,672282,91.0,5.0,6.0,4.0,3.0
718377,668881,112.0,5.0,10.0,5.0,3.0
718378,641745,92.0,6.0,4.0,6.0,5.0
718379,668834,64.0,7.0,2.0,1.0,1.0
718381,665152,89.0,5.0,6.0,11.0,2.0
718383,448179,103.0,7.0,5.0,8.0,0.0
718384,640455,71.0,3.0,3.0,5.0,4.0
718385,668676,57.0,4.0,1.0,8.0,1.0
718399,592826,92.0,6.0,5.0,5.0,0.0
718401,680570,91.0,5.0,9.0,2.0,1.0
718354,663559,77.0,5.0,2.0,8.0,3.0
718355,656876,97.0,6.0,3.0,9.0,0.0
718356,641482,100.0,5.0,7.0,5.0,4.0
718357,666157,70.0,6.0,7.0,5.0,0.0
718358,669194,75.0,4.0,2.0,9.0,1.0
718359,663765,90.0,4.0,2.0,4.0,3.0
718360,680694,78.0,5.0,5.0,6.0,1.0
718362,663903,66.0,3.0,5.0,5.0,3.0
718363,594835,67.0,3.0,2.0,8.0,1.0
718364,657006,81.0,6.0,3.0,7.0,1.0
718365,660761,77.0,5.0,6.0,2.0,3.0
718367,670912,64.0,3.0,1.0,9.0,2.0
718368,502171,94.0,5.0,7.0,7.0,0.0
718370,671106,104.0,5.0,8.0,4.0,2.0
718343,592836,82.0,4.0,6.0,8.0,3.0
718345,596133,79.0,5.0,3.0,9.0,2.0
718349,592767,84.0,7.0,2.0,6.0,0.0
718350,548389,73.0,5.0,5.0,5.0,0.0
